Isoform	hg19.kgXref.kgID	Gen
uc002qsd.3	uc002qsd.3	A1BG|1
uc002qsf.1	uc002qsf.1	A1BG|1
uc001jjh.2	uc001jjh.2	A1CF|29974
uc001jji.2	uc001jji.2	A1CF|29974
uc001jjj.2	uc001jjj.2	A1CF|29974
uc001jjk.1	uc001jjk.1	A1CF|29974
uc009xov.2	uc009xov.2	A1CF|29974
uc010qhn.1	uc010qhn.1	A1CF|29974
uc010qho.1	uc010qho.1	A1CF|29974
uc002cyr.1	uc002cyr.1	A2BP1|54715
uc002cys.2	uc002cys.2	A2BP1|54715
uc002cyt.2	uc002cyt.2	A2BP1|54715
uc002cyv.1	uc002cyv.1	A2BP1|54715
uc002cyw.2	uc002cyw.2	A2BP1|54715
uc002cyx.2	uc002cyx.2	A2BP1|54715
uc002cyy.2	uc002cyy.2	A2BP1|54715
uc010buf.1	uc010buf.1	A2BP1|54715
uc010uxz.1	uc010uxz.1	A2BP1|54715
uc010uya.1	uc010uya.1	A2BP1|54715
uc010uyb.1	uc010uyb.1	A2BP1|54715
uc010uyc.1	uc010uyc.1	A2BP1|54715
uc001voq.1	uc001voq.1	A2LD1|87769
uc001vor.2	uc001vor.2	A2LD1|87769
uc001vos.2	uc001vos.2	A2LD1|87769
uc001quz.3	uc001quz.3	A2ML1|144568
uc001qva.1	uc001qva.1	A2ML1|144568
uc001qvb.1	uc001qvb.1	A2ML1|144568
uc010sgm.1	uc010sgm.1	A2ML1|144568
uc001qvj.1	uc001qvj.1	A2M|2
uc001qvk.1	uc001qvk.1	A2M|2
uc009zgk.1	uc009zgk.1	A2M|2
uc003bdb.2	uc003bdb.2	A4GALT|53947
uc010gzd.2	uc010gzd.2	A4GALT|53947
uc003ers.2	uc003ers.2	A4GNT|51146
uc003tdz.2	uc003tdz.2	AAA1|404744
uc003teb.1	uc003teb.1	AAA1|404744
uc003tek.3	uc003tek.3	AAA1|404744
uc010kwo.1	uc010kwo.1	AAA1|404744
uc010kwp.1	uc010kwp.1	AAA1|404744
uc010kwq.1	uc010kwq.1	AAA1|404744
uc010kwx.1	uc010kwx.1	AAA1|404744
uc010kwy.2	uc010kwy.2	AAA1|404744
uc011kaq.1	uc011kaq.1	AAA1|404744
uc001scr.3	uc001scr.3	AAAS|8086
uc001scs.3	uc001scs.3	AAAS|8086
uc003mjk.2	uc003mjk.2	AACSL|729522
uc011dgk.1	uc011dgk.1	AACSL|729522
uc011dgl.1	uc011dgl.1	AACSL|729522
uc001uhc.2	uc001uhc.2	AACS|65985
uc001uhd.2	uc001uhd.2	AACS|65985
uc009zyg.2	uc009zyg.2	AACS|65985
uc009zyh.2	uc009zyh.2	AACS|65985
uc009zyi.2	uc009zyi.2	AACS|65985
uc003ezc.2	uc003ezc.2	AADACL2|344752
uc010hvn.2	uc010hvn.2	AADACL2|344752
uc001aug.1	uc001aug.1	AADACL3|126767
uc009vnn.1	uc009vnn.1	AADACL3|126767
uc001auf.2	uc001auf.2	AADACL4|343066
uc003eze.2	uc003eze.2	AADAC|13
uc003isr.2	uc003isr.2	AADAT|51166
uc003iss.2	uc003iss.2	AADAT|51166
uc003ist.2	uc003ist.2	AADAT|51166
uc002aqk.3	uc002aqk.3	AAGAB|79719
uc002aql.2	uc002aql.2	AAGAB|79719
uc010uju.1	uc010uju.1	AAGAB|79719
uc002sfp.2	uc002sfp.2	AAK1|22848
uc010fdj.1	uc010fdj.1	AAK1|22848
uc010fdk.2	uc010fdk.2	AAK1|22848
uc010fdm.1	uc010fdm.1	AAK1|22848
uc010yqm.1	uc010yqm.1	AAK1|22848
uc002vhj.2	uc002vhj.2	AAMP|14
uc002vhk.2	uc002vhk.2	AAMP|14
uc002vhl.2	uc002vhl.2	AAMP|14
uc010fvo.2	uc010fvo.2	AAMP|14
uc002jro.2	uc002jro.2	AANAT|15
uc010wte.1	uc010wte.1	AANAT|15
uc010jza.1	uc010jza.1	AARS2|57505
uc002icc.2	uc002icc.2	AARSD1|80755
uc002icd.2	uc002icd.2	AARSD1|80755
uc002ice.2	uc002ice.2	AARSD1|80755
uc002icf.2	uc002icf.2	AARSD1|80755
uc002icg.2	uc002icg.2	AARSD1|80755
uc002ich.2	uc002ich.2	AARSD1|80755
uc010cyu.1	uc010cyu.1	AARSD1|80755
uc010whg.1	uc010whg.1	AARSD1|80755
uc010whh.1	uc010whh.1	AARSD1|80755
uc002eyn.1	uc002eyn.1	AARS|16
uc010vlu.1	uc010vlu.1	AARS|16
uc001pjc.1	uc001pjc.1	AASDHPPT|60496
uc001pjd.1	uc001pjd.1	AASDHPPT|60496
uc010rvn.1	uc010rvn.1	AASDHPPT|60496
uc003hbn.2	uc003hbn.2	AASDH|132949
uc003hbo.2	uc003hbo.2	AASDH|132949
uc003hbp.2	uc003hbp.2	AASDH|132949
uc003hbq.1	uc003hbq.1	AASDH|132949
uc010ihb.2	uc010ihb.2	AASDH|132949
uc010ihc.2	uc010ihc.2	AASDH|132949
uc011caa.1	uc011caa.1	AASDH|132949
uc011cab.1	uc011cab.1	AASDH|132949
uc003vka.2	uc003vka.2	AASS|10157
uc003vkb.2	uc003vkb.2	AASS|10157
uc011knu.1	uc011knu.1	AASS|10157
uc011knv.1	uc011knv.1	AASS|10157
uc011knw.1	uc011knw.1	AASS|10157
uc002hni.2	uc002hni.2	AATF|26574
uc002hnj.2	uc002hnj.2	AATF|26574
uc010dhz.2	uc010dhz.2	AATK|9625
uc010dia.2	uc010dia.2	AATK|9625
uc002czc.3	uc002czc.3	ABAT|18
uc002czd.3	uc002czd.3	ABAT|18
uc010buh.2	uc010buh.2	ABAT|18
uc010bui.2	uc010bui.2	ABAT|18
uc002jhz.2	uc002jhz.2	ABCA10|10349
uc010dfa.1	uc010dfa.1	ABCA10|10349
uc010dfb.1	uc010dfb.1	ABCA10|10349
uc010dfc.1	uc010dfc.1	ABCA10|10349
uc010wqs.1	uc010wqs.1	ABCA10|10349
uc010wqt.1	uc010wqt.1	ABCA10|10349
uc003gac.2	uc003gac.2	ABCA11P|79963
uc003gad.2	uc003gad.2	ABCA11P|79963
uc003gae.2	uc003gae.2	ABCA11P|79963
uc010ibd.1	uc010ibd.1	ABCA11P|79963
uc011buv.1	uc011buv.1	ABCA11P|79963
uc002vev.2	uc002vev.2	ABCA12|26154
uc002vew.2	uc002vew.2	ABCA12|26154
uc010zjn.1	uc010zjn.1	ABCA12|26154
uc003top.2	uc003top.2	ABCA13|154664
uc003toq.2	uc003toq.2	ABCA13|154664
uc003tos.1	uc003tos.1	ABCA13|154664
uc010kyr.2	uc010kyr.2	ABCA13|154664
uc010kys.1	uc010kys.1	ABCA13|154664
uc010kyt.1	uc010kyt.1	ABCA13|154664
uc010kyu.1	uc010kyu.1	ABCA13|154664
uc002cqa.1	uc002cqa.1	ABCA17P|650655
uc002cqb.1	uc002cqb.1	ABCA17P|650655
uc002cqc.1	uc002cqc.1	ABCA17P|650655
uc004bcl.2	uc004bcl.2	ABCA1|19
uc004bcm.2	uc004bcm.2	ABCA1|19
uc004ckl.1	uc004ckl.1	ABCA2|20
uc004ckm.1	uc004ckm.1	ABCA2|20
uc004ckn.1	uc004ckn.1	ABCA2|20
uc004cko.1	uc004cko.1	ABCA2|20
uc010nca.2	uc010nca.2	ABCA2|20
uc011mel.1	uc011mel.1	ABCA2|20
uc011mem.1	uc011mem.1	ABCA2|20
uc002cpy.1	uc002cpy.1	ABCA3|21
uc002cpz.1	uc002cpz.1	ABCA3|21
uc010bsk.1	uc010bsk.1	ABCA3|21
uc010bsl.1	uc010bsl.1	ABCA3|21
uc001dqh.2	uc001dqh.2	ABCA4|24
uc001dqi.1	uc001dqi.1	ABCA4|24
uc009wdp.1	uc009wdp.1	ABCA4|24
uc010otn.1	uc010otn.1	ABCA4|24
uc002jib.2	uc002jib.2	ABCA5|23461
uc002jic.2	uc002jic.2	ABCA5|23461
uc002jid.2	uc002jid.2	ABCA5|23461
uc002jie.2	uc002jie.2	ABCA5|23461
uc002jif.2	uc002jif.2	ABCA5|23461
uc002jig.2	uc002jig.2	ABCA5|23461
uc002jih.2	uc002jih.2	ABCA5|23461
uc010dfe.2	uc010dfe.2	ABCA5|23461
uc002jhw.1	uc002jhw.1	ABCA6|23460
uc002jhx.1	uc002jhx.1	ABCA6|23460
uc002jhy.2	uc002jhy.2	ABCA6|23460
uc002lqw.3	uc002lqw.3	ABCA7|10347
uc002lqy.2	uc002lqy.2	ABCA7|10347
uc010dsa.2	uc010dsa.2	ABCA7|10347
uc010dsb.1	uc010dsb.1	ABCA7|10347
uc010dsc.2	uc010dsc.2	ABCA7|10347
uc002jhp.2	uc002jhp.2	ABCA8|10351
uc002jhq.2	uc002jhq.2	ABCA8|10351
uc002jhr.2	uc002jhr.2	ABCA8|10351
uc002jhs.2	uc002jhs.2	ABCA8|10351
uc002jht.2	uc002jht.2	ABCA8|10351
uc010wqq.1	uc010wqq.1	ABCA8|10351
uc010wqr.1	uc010wqr.1	ABCA8|10351
uc002jhu.2	uc002jhu.2	ABCA9|10350
uc002jhv.2	uc002jhv.2	ABCA9|10350
uc010dez.2	uc010dez.2	ABCA9|10350
uc001htp.3	uc001htp.3	ABCB10|23456
uc002ueo.1	uc002ueo.1	ABCB11|8647
uc010zda.1	uc010zda.1	ABCB11|8647
uc010zdb.1	uc010zdb.1	ABCB11|8647
uc003uiz.1	uc003uiz.1	ABCB1|5243
