Id,CA150_4h,CUGBP_4h,ESRP1_4h,FBP11_4h,MAGOH_4h,NOVA1_4h,PRP8_4h,PSF_4h,PTB_4h,RAVER1_4h,RBM17_4h,RBM22_4h,RBM3_4h,RBM45_4h,SAM68TV1_4h,SC35_4h,sf3btv1_4h,SF3BTV2_4h,SKIP_4h,SND1_4h,SRM160_4h,SRSF1_4h,SRSF10_4h,SRSF3_4h,SRSF4_4h,SRSF5_4h,SRSF6_4h,SRSF9_4h,TIA1_4h,TRA2A_4h,TRA2B_4h,U11_4h,U12_4h,U2_4h,U2AF1_4h,U2AF2_4h,U4_4h,U4ATAC_4h,U5_4h,U6_4h,U6ATAC_4h,Diabetes
16,18720588.2,3951613.94,155764.43,31559634.19,8470265.82,2085916.61,46313079.92,126298.3,14628720.69,6690628.3,17481323.16,17949799.67,35238108.65,5992651.84,1451660.48,5478674.01,4840104.24,32506583.79,505462.25,28715091.7,26177586.3,17907.6,26368950.87,88359756.82,12730589.54,87168238.41,5769361.64,65380489.49,18514750.53,29643787.4,19936487.37,102854575.3,139073.38,484452756.5,15770858.57,16414466.9,2331400986,5176641.36,6090503.58,8894075.81,3250216.23,N
18,27578508.2,5893841.04,131432.24,36505406.88,5014790.67,502649.09,40342023.52,74427.61,21568915.14,8272086.69,19896323.56,21985331.69,38286349.01,6642983.9,1204842.86,1988923.54,3205860.74,27312562.56,117431.75,47189409.63,26035353,53114.71,27233231.2,108201083.8,15493078.53,147112477.6,7616029.92,104078335.8,22281513.02,50973062.7,34475839.17,159375958.5,161270.67,270953187.7,19438401.71,18788417.76,3022873734,5577892.66,36788549.99,54351308.93,1736810.87,N
29,37260627.52,5781798.56,110401.57,61940585.08,8750435.58,719488.4,47362098.32,93561,26447399.34,8826207.89,23127313.36,,43277283.52,12985198.96,2288238.03,3372133.07,6648869.81,62544070.24,689298.7,42141103.12,36324568.72,41456.75,41904402.44,263722995.7,16150872.51,158563750.7,7583210.92,108900661.4,65913627.64,59798175.07,88096443.99,128245565.9,15319.86,275941885.5,15804826.45,15529990.46,2981347997,2882096.26,39162515.96,55217973.65,467041.12,N
74,22055123.89,2275346.86,337948.42,20940467.11,2933731.26,3927257.75,26045825.57,89924.93,18627064.47,6620061.67,33983781.73,11219566.51,33080639.3,5143350.93,888837,1980273.81,935811.61,21714429.21,147373.77,32394490.74,11781331.21,77190.01,20208387.77,113693505.5,12536776.53,116951530,5761114.7,63310991.63,17671384.89,29451398.95,28033307.27,74082759.68,13985.11,235534441.3,14257128.43,11593226.37,8302486230,1369498.88,17637215.51,61969791.85,1648128.9,N
128,27805313.08,6463392.76,138568.67,22839716.26,1112353.14,35752.67,46917464.96,8268.97,21514256.1,7052296.28,21372042.37,14106466.47,40128500.54,2953935.07,1014881.8,769811.39,559998.22,28770065.82,70582.47,46483173.06,23466140.25,20867.68,34119663.68,85217482.98,15443806.92,151509041.8,11805671.21,99208004.85,7337876.08,28208767.46,31857503.02,77310696.89,61780.78,1080207507,8585483.97,14810465.59,1799208283,78632.18,18077776.04,65615735.17,3266804.87,N
184,9081381.43,1856533.36,546490.67,27008997.83,3457315.69,14406316.13,20695933.57,56725.07,10342826.8,3528883.51,22639153.95,9126487.44,25540631.22,3470470.82,715124.65,2490571.45,4258568.54,24100328.71,116026.49,21578382.75,14860634.92,71304.91,19369459.95,58706990.15,6819329.3,58437057.93,3012082.65,59009882.73,8353780.16,15189584.76,12804538.72,108727875.3,123440.57,250594796.5,17346219.4,10632295.29,3447231828,3818565.65,8173609.35,178097386.9,8137845.57,N
191,20836574.53,4417662.42,116712.77,43265989.14,3620585.02,1226827.97,51729768.42,212150.4,18718974.13,9417174.68,16308443.12,22902196.29,33664314.07,6827595.86,2360789.54,6628907.73,9351817.41,49437273.74,520643.78,26814116.26,29964562.21,19910,31722294.46,78332009.42,13129914.96,99195531.34,6729420.1,66525394.86,15304885.05,29260027,17787790.75,113407230.2,210246.88,184664618.8,15498749.04,17168514.19,1311430802,2394844.79,24833874.38,80924704.64,2203762.54,N
193,16963684.62,6540671.4,422308.93,7290983.8,4398538.74,10274401.46,16792234.51,504.83,18655387.21,4928199.19,25191167.94,7880104.73,28833737.29,1468941.36,786129.94,647712.73,263410.03,11219141.02,234.83,38188077.58,13062958.31,23396.68,21595468.73,82087500.71,9059247.68,96464414.64,5171550.01,86985896.51,13506661.65,23714701.07,17482553.66,101085883.5,25944.02,12122639.03,28745468.47,15458982.98,4783768030,920375.91,16950904.53,46236322.97,1888671.68,N
363,45472266.55,4938938.5,190079.52,51187364.59,5911287.22,995863.15,77133454.17,373590.75,1908382515,11115734.54,29651612.8,38248471.91,38121731.4,7929758.95,1682092.88,4880108.78,8447512.39,49530233.03,4141.11,48616058.34,38496265.93,49672.28,47567191.64,169080092.5,21134773.08,229323729.6,7454055.38,92789557.81,36227710.28,57662568.25,66864978.8,224661981.8,122136.57,816334251.5,15684047.29,17084959.15,3251345842,,29285532.5,79116122.49,141345.37,N
378,41247944.97,5388685.09,269933.21,49073420.26,4558268.32,8645009.99,45864383.77,8355.37,21517799.79,8291232.31,21648306.82,37912009.99,47290407.22,9726483.45,3970483,4314287.82,2045807.52,50055346.01,50793.12,23702499.35,33476650.8,52299.45,47170231.26,359734270.5,15578925.62,134127546,4011976.35,127050900.5,48022398.98,46415521.45,78082744.6,178529643.1,25613.32,156330148.1,18040839.21,10521837.43,4039366261,2541185.39,18450939,77259462.3,1140582.83,N
